City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,monrovia,6.3005,-10.7969,26.87,94,100,4.82,LR,1689955907
348,kalashnikovo,57.2824,35.2262,16.87,56,68,4.05,RU,1689956225
349,mazan,44.0568,5.1275,33.2,20,6,4.43,FR,1689956225
350,colonia menno,-22.3667,-59.8167,34.5,23,0,11.96,PY,1689956225
351,wladyslawowo,54.7909,18.4009,20.26,57,64,4.86,PL,1689956226
352,vorkuta,67.5,64.0,21.98,69,87,2.59,RU,1689956226
353,homer,59.6425,-151.5483,15.43,85,0,2.57,US,1689956226
354,bamboo flat,11.7,92.7167,28.05,83,75,3.6,IN,1689956226
355,malpica,43.3228,-8.8105,23.86,80,1,4.15,ES,1689956226
356,yuzhno-kurilsk,44.0306,145.8556,14.26,97,49,3.8,RU,1689956227
357,santa ana,33.7456,-117.8678,30.59,76,75,3.6,US,1689955873
358,nyala,12.05,24.8833,35.06,30,31,4.0,SD,1689956227
359,kulhudhuffushi,6.6221,73.07,28.05,78,100,7.41,MV,1689956043
360,banda aceh,5.5577,95.3222,27.54,78,100,5.31,ID,1689956096
361,nytva,57.9404,55.334,15.94,83,96,2.07,RU,1689956015
362,tokombere,11.2271,13.4858,28.76,59,61,3.17,NG,1689956227
363,port erin,54.0849,-4.751,16.93,72,20,5.66,IM,1689956227
